2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,327.5,402.6,75.1,22.9,6.1,41.0,"$48,520",Bachelor's degree,None,None
"Counselors, all other",21-1019,Line item,54.3,59.2,4.8,8.9,46.2,5.7,"$45,160",Master's degree,None,None
Social workers,21-1020,Summary,715.6,804.8,89.2,12.5,2.0,78.3,"$50,390",—,—,—
"Child, family, and school social workers",21-1021,Line item,335.3,377.4,42.2,12.6,0.1,36.7,"$49,150",Bachelor's degree,None,None
Healthcare social workers,21-1022,Line item,184.9,209.3,24.4,13.2,1.7,20.4,"$60,840",Master's degree,None,Internship/residency
Mental health and substance abuse social workers,21-1023,Line item,124.0,142.5,18.5,14.9,2.9,14.0,"$49,130",Master's degree,None,Internship/residency
"Social workers, all other",21-1029,Line item,71.4,75.5,4.1,5.8,10.5,7.1,"$61,190",Bachelor's degree,None,None
Miscellaneous community and social service specialists,21-1090,Summary,730.9,837.7,106.7,14.6,0.6,95.0,"$42,490",—,—,—
Health education specialists,21-1091,Line item,61.1,68.7,7.6,12.4,0.8,7.4,"$60,600",Bachelor's degree,None,None
Probation officers and correctional treatment specialists,21-1092,Line item,92.7,96.2,3.5,3.8,—,8.1,"$60,250",Bachelor's degree,None,Short-term on-the-job training
Social and human service assistants,21-1093,Line item,417.6,487.1,69.5,16.6,0.7,59.1,"$37,610",High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,21-1094,Line item,64.1,77.6,13.5,21.0,0.9,8.6,"$46,590",High school diploma or equivalent,None,Short-term on-the-job training
"Community and social service specialists, all other",21-1099,Line item,95.5,108.2,12.7,13.3,0.6,11.7,"$47,390",Bachelor's degree,None,None
Religious workers,21-2000,Summary,476.4,487.6,11.2,2.3,3.6,52.9,"$48,560",—,—,—
Clergy,21-2011,Line item,260.6,267.2,6.6,2.5,4.8,26.7,"$49,720",Bachelor's degree,None,Moderate-term on-the-job training
"Directors, religious activities and education",21-2021,Line item,149.6,152.8,3.2,2.2,1.1,17.4,"$46,980",Bachelor's degree,Less than 5 years,None
"Religious workers, all other",21-2099,Line item,66.3,67.6,1.3,2.0,4.4,8.8,"$37,500",Bachelor's degree,None,None
Legal occupations,23-0000,Summary,1328.7,1445.2,116.6,8.8,11.7,103.6,"$82,430",—,—,—
"Lawyers, judges, and related workers",23-1000,Summary,871.2,945.0,73.9,8.5,15.9,49.7,"$127,540",—,—,—
Lawyers and judicial law clerks,23-1010,Summary,819.3,891.4,72.0,8.8,16.8,47.1,"$127,690",—,—,—
Lawyers,23-1011,Line item,804.2,875.7,71.5,8.9,17.1,46.0,"$127,990",Doctoral or professional degree,None,None
Judicial law clerks,23-1012,Line item,15.1,15.7,0.6,3.9,—,1.1,"$50,750",Doctoral or professional degree,None,None
"Judges, magistrates, and other judicial workers",23-1020,Summary,51.9,53.7,1.8,3.5,1.6,2.6,"$110,550",—,—,—
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.5,15.6,0.1,0.8,—,0.7,"$102,550",Doctoral or professional degree,5 years or more,Short-term on-the-job training
"Arbitrators, mediators, and conciliators",23-1022,Line item,6.9,7.6,0.7,9.7,12.0,0.4,"$49,410",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Judges, magistrate judges, and magistrates",23-1023,Line item,29.4,30.4,1.0,3.4,—,1.5,"$148,030",Doctoral or professional degree,5 years or more,Short-term on-the-job training
Legal support workers,23-2000,Summary,457.5,500.2,42.7,9.3,3.9,53.9,"$54,860",—,—,—
Paralegals and legal assistants,23-2011,Line item,345.6,387.0,41.4,12.0,3.5,43.0,"$56,230",Associate's degree,None,None
Miscellaneous legal support workers,23-2090,Summary,111.8,113.2,1.3,1.2,5.1,10.8,"$51,550",—,—,—
"Title examiners, abstractors, and searchers",23-2093,Line item,62.2,63.3,1.1,1.7,5.9,6.1,"$47,310",High school diploma or equivalent,None,Moderate-term on-the-job training
"Legal support workers, all other",23-2099,Line item,49.6,49.8,0.2,0.5,4.2,4.7,"$59,790",Associate's degree,None,None
Educational instruction and library occupations,25-0000,Summary,9134.7,10055.2,920.5,10.1,2.2,932.9,"$57,220",—,—,—
Postsecondary teachers,25-1000,Summary,1621.4,1795.5,174.1,10.7,0.3,173.7,"$78,300",—,—,—
"Business teachers, postsecondary",25-1011,Line item,96.5,102.8,6.2,6.5,0.3,9.7,"$94,360",Doctoral or professional degree,None,None
"Math and computer science teachers, postsecondary",25-1020,Summary,93.9,99.6,5.8,6.2,0.2,9.4,"$77,630",—,—,—
"Computer science teachers, postsecondary",25-1021,Line item,37.8,40.4,2.6,6.9,0.3,3.8,"$77,910",Doctoral or professional degree,None,None
"Mathematical science teachers, postsecondary",25-1022,Line item,56.1,59.2,3.2,5.6,0.2,5.6,"$77,580",Doctoral or professional degree,None,None
"Engineering and architecture teachers, postsecondary",25-1030,Summary,54.8,61.3,6.5,11.9,0.2,6.0,"$103,340",—,—,—
"Architecture teachers, postsecondary",25-1031,Line item,8.5,9.2,0.7,8.3,—,0.9,"$95,160",Doctoral or professional degree,None,None
"Engineering teachers, postsecondary",25-1032,Line item,46.3,52.1,5.8,12.5,0.2,5.1,"$104,940",Doctoral or professional degree,None,None
"Life sciences teachers, postsecondary",25-1040,Summary,72.1,80.4,8.3,11.5,0.2,7.8,"$81,980",—,—,—
"Agricultural sciences teachers, postsecondary",25-1041,Line item,9.9,10.4,0.5,5.0,—,1.0,"$95,910",Doctoral or professional degree,None,None
"Biological science teachers, postsecondary",25-1042,Line item,60.5,68.2,7.7,12.8,0.3,6.7,"$81,440",Doctoral or professional degree,None,None
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.7,1.8,0.1,5.5,—,0.2,"$82,330",Doctoral or professional degree,None,None
"Physical sciences teachers, postsecondary",25-1050,Summary,62.8,67.5,4.7,7.5,0.3,6.4,"$81,980",—,—,—
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.6,14.5,0.9,6.4,—,1.4,"$98,070",Doctoral or professional degree,None,None
"Chemistry teachers, postsecondary",25-1052,Line item,25.6,27.6,2.0,7.9,0.3,2.6,"$79,410",Doctoral or professional degree,None,None
"Environmental science teachers, postsecondary",25-1053,Line item,7.1,7.6,0.5,6.8,—,0.7,"$81,980",Doctoral or professional degree,None,None
"Physics teachers, postsecondary",25-1054,Line item,16.5,17.8,1.3,8.1,—,1.7,"$93,070",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary",25-1060,Summary,136.9,148.4,11.5,8.4,0.3,14.2,"$79,770",—,—,—
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.7,7.2,0.5,8.1,—,0.7,"$97,340",Doctoral or professional degree,None,None
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,12.1,13.1,1.1,8.8,—,1.3,"$78,910",Doctoral or professional degree,None,None
"Economics teachers, postsecondary",25-1063,Line item,16.0,17.4,1.4,9.0,0.3,1.7,"$104,940",Doctoral or professional degree,None,None
"Geography teachers, postsecondary",25-1064,Line item,4.4,4.7,0.3,6.3,—,0.4,"$81,440",Doctoral or professional degree,None,None
"Political science teachers, postsecondary",25-1065,Line item,18.4,20.0,1.6,8.7,0.3,1.9,"$81,980",Doctoral or professional degree,None,None
"Psychology teachers, postsecondary",25-1066,Line item,44.1,48.6,4.5,10.3,0.3,4.7,"$77,860",Doctoral or professional degree,None,None
"Sociology teachers, postsecondary",25-1067,Line item,15.9,17.1,1.2,7.6,—,1.6,"$77,980",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary, all other",25-1069,Line item,19.5,20.3,0.8,4.3,—,1.9,"$77,500",Doctoral or professional degree,None,None
"Health teachers, postsecondary",25-1070,Summary,315.3,390.5,75.2,23.8,0.4,39.8,"$98,070",—,—,—
"Health specialties teachers, postsecondary",25-1071,Line item,242.7,301.6,58.9,24.3,0.3,30.8,"$102,720",Doctoral or professional degree,Less than 5 years,None
"Nursing instructors and teachers, postsecondary",25-1072,Line item,72.6,88.9,16.3,22.4,0.4,9.0,"$77,440",Doctoral or professional degree,Less than 5 years,None
"Education and library science teachers, postsecondary",25-1080,Summary,75.0,81.0,6.1,8.1,0.3,7.7,"$64,540",—,—,—
"Education teachers, postsecondary",25-1081,Line item,70.0,75.8,5.8,8.3,0.3,7.2,"$63,910",Doctoral or professional degree,Less than 5 years,None
"Library science teachers, postsecondary",25-1082,Line item,5.0,5.3,0.3,5.9,—,0.5,"$77,100",Doctoral or professional degree,None,None
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,51.6,56.9,5.3,10.2,0.4,5.5,"$78,330",—,—,—
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.1,17.9,1.8,11.1,—,1.7,"$64,600",Doctoral or professional degree,None,None
"Law teachers, postsecondary",25-1112,Line item,18.9,21.0,2.0,10.6,0.5,2.0,"$123,470",Doctoral or professional degree,Less than 5 years,None
"Social work teachers, postsecondary",25-1113,Line item,16.6,18.1,1.5,8.9,0.3,1.7,"$71,010",Doctoral or professional degree,None,None
"Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,298.4,324.2,25.8,8.7,0.3,31.1,"$76,840",—,—,—
"Art, drama, and music teachers, postsecondary",25-1121,Line item,109.3,120.3,11.0,10.1,0.4,11.6,"$75,940",Master's degree,None,None
"Communications teachers, postsecondary",25-1122,Line item,33.6,36.0,2.4,7.3,0.3,3.4,"$77,560",Doctoral or professional degree,None,None
"English language and literature teachers, postsecondary",25-1123,Line item,75.0,79.6,4.7,6.2,0.3,7.5,"$75,930",Doctoral or professional degree,None,None
"Foreign language and literature teachers, postsecondary",25-1124,Line item,27.1,29.7,2.6,9.4,0.4,2.9,"$77,030",Doctoral or professional degree,None,None
"History teachers, postsecondary",25-1125,Line item,24.4,26.3,1.9,7.9,0.3,2.5,"$78,130",Doctoral or professional degree,None,None
"Philosophy and religion teachers, postsecondary",25-1126,Line item,29.0,32.2,3.2,11.0,0.5,3.1,"$77,610",Doctoral or professional degree,None,None
Miscellaneous postsecondary teachers,25-1190,Summary,364.1,382.9,18.7,5.1,0.3,36.0,"$64,640",—,—,—
"Family and consumer sciences teachers, postsecondary",25-1192,Line item,2.6,2.8,0.2,5.8,—,0.3,"$79,630",Doctoral or professional degree,None,None
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,17.0,18.2,1.2,6.8,—,1.7,"$72,440",Doctoral or professional degree,None,None
"Career/technical education teachers, postsecondary",25-1194,Line item,114.2,118.1,3.8,3.4,0.4,11.0,"$59,840",Bachelor's degree,Less than 5 years,None
"Postsecondary teachers, all other",25-1199,Line item,230.3,243.9,13.6,5.9,0.2,23.0,"$78,160",Doctoral or professional degree,None,None
"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,4106.3,4470.9,364.5,8.9,0.6,354.8,"$61,030",—,—,—
Preschool and kindergarten teachers,25-2010,Summary,590.9,687.0,96.2,16.3,1.3,73.1,"$36,710",—,—,—
"Preschool teachers, except special education",25-2011,Line item,469.6,556.0,86.4,18.4,1.6,59.6,"$30,210",Associate's degree,None,None
"Kindergarten teachers, except special education",25-2012,Line item,121.3,131.1,9.8,8.1,0.4,13.5,"$60,900",Bachelor's degree,None,None
Elementary and middle school teachers,25-2020,Summary,1981.1,2128.5,147.4,7.4,0.7,160.1,"$61,390",—,—,—
"Elementary school teachers, except special education",25-2021,Line item,1371.1,1472.9,101.7,7.4,0.7,110.8,"$61,400",Bachelor's degree,None,None
"Middle school teachers, except special and career/technical education",25-2022,Line item,598.5,643.3,44.8,7.5,0.7,48.4,"$61,320",Bachelor's degree,None,None
"Career/technical education teachers, middle school",25-2023,Line item,11.5,12.4,0.9,7.4,0.4,0.9,"$61,820",Bachelor's degree,Less than 5 years,None
Secondary school teachers,25-2030,Summary,1071.2,1154.5,83.4,7.8,0.1,83.0,"$61,820",—,—,—
"Secondary school teachers, except special and career/technical education",25-2031,Line item,998.8,1077.0,78.2,7.8,0.1,77.4,"$61,820",Bachelor's degree,None,None
"Career/technical education teachers, secondary school",25-2032,Line item,72.3,77.5,5.1,7.1,—,5.5,"$61,820",Bachelor's degree,Less than 5 years,None
Special education teachers,25-2050,Summary,463.2,500.8,37.6,8.1,0.1,38.6,"$61,820",—,—,—
"Special education teachers, preschool",25-2051,Line item,20.8,23.4,2.5,12.1,—,1.8,"$62,420",Bachelor's degree,None,None
"Special education teachers, kindergarten and elementary school",25-2052,Line item,188.6,203.4,14.8,7.8,0.1,15.7,"$61,640",Bachelor's degree,None,None
"Special education teachers, middle school",25-2057,Line item,78.5,84.4,5.9,7.5,—,6.5,"$61,820",Bachelor's degree,None,None
"Special education teachers, secondary school",25-2058,Line item,140.9,151.8,10.8,7.7,0.1,11.7,"$62,120",Bachelor's degree,None,None
"Special education teachers, all other",25-2059,Line item,34.3,37.9,3.6,10.5,0.2,3.0,"$61,720",Bachelor's degree,None,None
Other teachers and instructors,25-3000,Summary,1306.9,1511.6,204.7,15.7,11.8,180.1,"$37,310",—,—,—
"Adult basic education, adult secondary education, and English as a Second Language instructors",25-3011,Line item,48.3,45.9,-2.4,-5.0,7.6,5.1,"$59,720",Bachelor's degree,None,None
Self-enrichment teachers,25-3021,Line item,336.7,415.9,79.2,23.5,20.0,50.5,"$43,580",High school diploma or equivalent,Less than 5 years,None
"Substitute teachers, short-term",25-3031,Line item,536.9,604.6,67.8,12.6,5.3,71.4,"$30,100",Bachelor's degree,None,None
"Tutors and teachers and instructors, all other",25-3097,Line item,385.0,445.2,60.2,15.6,14.0,53.0,"$46,890",Bachelor's degree,None,None
"Librarians, curators, and archivists",25-4000,Summary,271.6,291.3,19.8,7.3,1.7,33.6,"$49,060",—,—,—
"Archivists, curators, and museum technicians",25-4010,Summary,35.0,41.6,6.6,18.8,8.8,4.9,"$50,120",—,—,—
Archivists,25-4011,Line item,8.1,9.0,0.9,10.9,8.1,1.0,"$60,050",Master's degree,None,None
Curators,25-4012,Line item,13.4,16.3,2.9,21.6,9.5,1.9,"$60,110",Master's degree,None,None
Museum technicians and conservators,25-4013,Line item,13.5,16.3,2.8,20.6,8.6,1.9,"$47,630",Bachelor's degree,None,None
Librarians and media collections specialists,25-4022,Line item,143.5,156.5,13.0,9.1,1.2,15.2,"$61,190",Master's degree,None,None
Library technicians,25-4031,Line item,93.1,93.2,0.1,0.2,—,13.4,"$36,970",Postsecondary nondegree award,None,None
Other educational instruction and library occupations,25-9000,Summary,1828.5,1985.9,157.4,8.6,0.6,190.7,"$30,460",—,—,—
Farm and home management educators,25-9021,Line item,9.3,9.2,-0.1,-1.2,0.9,0.8,"$49,990",Master's degree,None,None
Instructional coordinators,25-9031,Line item,190.4,208.9,18.4,9.7,2.4,20.4,"$63,740",Master's degree,5 years or more,None
Teaching assistants,25-9040,Summary,1471.7,1598.3,126.5,8.6,0.3,153.0,"$29,550",—,—,—
"Teaching assistants, postsecondary",25-9044,Line item,165.4,176.0,10.5,6.4,0.2,16.7,"$38,040",Bachelor's degree,None,None
"Teaching assistants, except postsecondary",25-9045,Line item,1306.3,1422.3,116.0,8.9,0.3,136.4,"$29,360","Some college, no degree",None,None
"Educational instruction and library workers, all other",25-9099,Line item,157.0,169.5,12.5,8.0,1.5,16.4,"$46,300",Bachelor's degree,None,None
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,2662.2,3011.4,349.2,13.1,25.0,319.5,"$51,190",—,—,—
Art and design workers,27-1000,Summary,849.6,886.7,37.0,4.4,29.9,84.2,"$48,220",—,—,—
Artists and related workers,27-1010,Summary,209.2,236.9,27.7,13.2,57.6,25.2,"$80,990",—,—,—
Art directors,27-1011,Line item,98.5,109.4,10.8,11.0,58.5,11.5,"$100,890",Bachelor's degree,5 years or more,None
Craft artists,27-1012,Line item,9.6,10.9,1.3,13.2,59.1,1.2,"$35,930",No formal educational credential,None,Long-term on-the-job training
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,25.9,30.4,4.5,17.3,59.2,3.3,"$60,820",Bachelor's degree,None,Long-term on-the-job training
Special effects artists and animators,27-1014,Line item,62.4,72.3,9.9,15.8,59.3,7.8,"$78,790",Bachelor's degree,None,None
"Artists and related workers, all other",27-1019,Line item,12.6,13.8,1.2,9.5,38.0,1.5,"$61,580",No formal educational credential,None,Long-term on-the-job training
Designers,27-1020,Summary,640.4,649.8,9.4,1.5,20.8,59.0,"$46,370",—,—,—
Commercial and industrial designers,27-1021,Line item,31.5,33.3,1.8,5.6,4.6,3.1,"$77,030",Bachelor's degree,None,None
Fashion designers,27-1022,Line item,27.8,28.0,0.1,0.5,26.8,2.5,"$77,450",Bachelor's degree,None,None
Floral designers,27-1023,Line item,42.3,33.8,-8.5,-20.1,16.2,2.6,"$29,880",High school diploma or equivalent,None,Moderate-term on-the-job training
Graphic designers,27-1024,Line item,254.1,261.4,7.3,2.9,19.2,23.9,"$50,710",Bachelor's degree,None,None
Interior designers,27-1025,Line item,87.0,86.9,-0.2,-0.2,32.0,7.8,"$60,340",Bachelor's degree,None,None
Merchandise displayers and window trimmers,27-1026,Line item,136.4,142.4,6.1,4.4,0.6,13.2,"$32,060",High school diploma or equivalent,None,Short-term on-the-job training
Set and exhibit designers,27-1027,Line item,29.7,32.4,2.7,9.1,65.6,3.1,"$54,860",Bachelor's degree,None,None
"Designers, all other",27-1029,Line item,31.6,31.6,0.0,0.1,65.5,2.8,"$62,310",Bachelor's degree,None,None
"Entertainers and performers, sports and related workers",27-2000,Summary,722.1,882.8,160.6,22.2,21.2,110.7,"$49,470",—,—,—
"Actors, producers, and directors",27-2010,Summary,182.6,230.9,48.3,26.5,15.9,23.8,"$77,080",—,—,—
Actors,27-2011,Line item,51.6,68.3,16.7,32.4,23.7,8.2,—,"Some college, no degree",None,Long-term on-the-job training
Producers and directors,27-2012,Line item,131.0,162.5,31.6,24.1,12.8,15.6,"$79,000",Bachelor's degree,Less than 5 years,None
"Athletes, coaches, umpires, and related workers",27-2020,Summary,286.8,363.0,76.2,26.6,12.1,52.2,"$39,290",—,—,—
Athletes and sports competitors,27-2021,Line item,16.7,23.0,6.3,38.0,41.8,3.4,"$77,300",No formal educational credential,None,Long-term on-the-job training
Coaches and scouts,27-2022,Line item,249.9,313.8,63.9,25.6,9.8,45.1,"$38,970",Bachelor's degree,None,None
"Umpires, referees, and other sports officials",27-2023,Line item,20.2,26.2,6.0,29.4,16.0,3.8,"$35,860",High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers and choreographers,27-2030,Summary,13.6,17.7,4.2,30.7,26.9,3.0,"$40,500",—,—,—
Dancers,27-2031,Line item,9.0,11.7,2.7,30.0,27.2,1.9,—,No formal educational credential,None,Long-term on-the-job training
Choreographers,27-2032,Line item,4.6,6.1,1.5,32.1,26.2,1.0,"$42,700",High school diploma or equivalent,5 years or more,Long-term on-the-job training
"Musicians, singers, and related workers",27-2040,Summary,205.5,226.0,20.5,10.0,32.1,26.8,—,—,—,—
Music directors and composers,27-2041,Line item,48.1,51.2,3.0,6.3,20.0,6.0,"$49,130",Bachelor's degree,Less than 5 years,None
Musicians and singers,27-2042,Line item,157.3,174.8,17.5,11.1,35.8,20.8,—,No formal educational credential,None,Long-term on-the-job training
"Miscellaneous entertainers and performers, sports and related workers",27-2090,Line item,33.7,45.2,11.4,33.8,60.1,4.9,—,No formal educational credential,None,Short-term on-the-job training
Media and communication workers,27-3000,Summary,777.9,863.6,85.7,11.0,20.0,85.3,"$62,340",—,—,—
Broadcast announcers and radio disc jockeys,27-3011,Line item,30.7,33.9,3.2,10.3,11.9,3.3,"$37,630",Bachelor's degree,None,None
"News analysts, reporters, and journalists",27-3023,Line item,46.7,49.5,2.8,6.0,13.2,5.4,"$48,370",Bachelor's degree,None,None
Public relations specialists,27-3031,Line item,272.3,303.4,31.2,11.4,1.2,29.2,"$62,800",Bachelor's degree,None,None
Writers and editors,27-3040,Summary,304.0,327.9,23.8,7.8,36.7,32.1,"$71,640",—,—,—
Editors,27-3041,Line item,108.6,114.1,5.6,5.1,10.2,11.2,"$63,350",Bachelor's degree,Less than 5 years,None
Technical writers,27-3042,Line item,52.3,58.3,6.1,11.6,5.0,5.5,"$78,060",Bachelor's degree,Less than 5 years,Short-term on-the-job training
Writers and authors,27-3043,Line item,143.2,155.4,12.2,8.5,68.4,15.4,"$69,510",Bachelor's degree,None,Long-term on-the-job training
Miscellaneous media and communication workers,27-3090,Summary,124.2,148.9,24.8,19.9,24.9,15.3,"$49,980",—,—,—
Interpreters and translators,27-3091,Line item,81.4,100.7,19.3,23.7,28.7,10.4,"$49,110",Bachelor's degree,None,None
Court reporters and simultaneous captioners,27-3092,Line item,21.3,21.8,0.5,2.5,33.8,2.1,"$60,380",Postsecondary nondegree award,None,Short-term on-the-job training
"Media and communication workers, all other",27-3099,Line item,21.5,26.4,4.9,22.9,1.6,2.7,"$49,900",High school diploma or equivalent,None,Short-term on-the-job training
Media and communication equipment workers,27-4000,Summary,312.5,378.3,65.8,21.0,33.1,39.3,"$48,920",—,—,—
Audio and video technicians,27-4011,Line item,73.9,93.3,19.4,26.2,6.7,10.2,"$48,820",Postsecondary nondegree award,None,Short-term on-the-job training
Broadcast technicians,27-4012,Line item,28.4,31.6,3.2,11.2,7.6,3.3,"$44,740",Associate's degree,None,Short-term on-the-job training
Sound engineering technicians,27-4014,Line item,13.1,15.4,2.3,17.4,7.0,1.6,"$60,500",Postsecondary nondegree award,None,Short-term on-the-job training
Photographers,27-4021,Line item,110.5,129.4,18.9,17.1,64.0,12.7,"$38,950",High school diploma or equivalent,None,Moderate-term on-the-job training
"Television, video, and film camera operators and editors",27-4030,Summary,63.3,81.6,18.3,28.8,36.9,8.6,"$60,360",—,—,—
"Camera operators, television, video, and film",27-4031,Line item,30.3,37.6,7.3,24.1,35.9,3.9,"$49,230",Bachelor's degree,None,None
Film and video editors,27-4032,Line item,33.0,43.9,11.0,33.2,37.9,4.7,"$62,680",Bachelor's degree,None,None
"Lighting technicians and media and communication equipment workers, all other",27-4098,Line item,23.3,27.1,3.8,16.2,6.3,2.9,"$61,890",High school diploma or equivalent,None,Short-term on-the-job training
Healthcare practitioners and technical occupations,29-0000,Summary,9011.4,9985.9,974.6,10.8,2.7,621.1,"$75,040",—,—,—
Healthcare diagnosing or treating practitioners,29-1000,Summary,5960.5,6646.4,685.9,11.5,3.6,367.7,"$81,270",—,—,—
Chiropractors,29-1011,Line item,51.4,57.0,5.6,10.8,30.2,1.8,"$75,000",Doctoral or professional degree,None,None
Dentists,29-1020,Summary,139.2,150.3,11.1,8.0,15.6,5.0,"$163,220",—,—,—
"Dentists, general",29-1021,Line item,120.3,130.0,9.8,8.1,15.9,4.3,"$160,370",Doctoral or professional degree,None,None
Oral and maxillofacial surgeons,29-1022,Line item,5.2,5.6,0.4,7.7,15.4,0.2,">=$208,000",Doctoral or professional degree,None,Internship/residency
Orthodontists,29-1023,Line item,6.4,6.9,0.5,8.1,16.1,0.2,">=$208,000",Doctoral or professional degree,None,Internship/residency
Prosthodontists,29-1024,Line item,0.7,0.7,0.1,8.5,16.3,0.0,"$100,950",Doctoral or professional degree,None,Internship/residency
"Dentists, all other specialists",29-1029,Line item,6.8,7.1,0.3,5.0,10.6,0.2,"$175,160",Doctoral or professional degree,None,Internship/residency
Dietitians and nutritionists,29-1031,Line item,73.0,80.8,7.8,10.7,7.3,5.9,"$61,650",Bachelor's degree,None,Internship/residency
Optometrists,29-1041,Line item,43.3,47.2,3.9,9.0,14.9,1.7,"$124,300",Doctoral or professional degree,None,None
Pharmacists,29-1051,Line item,322.2,315.3,-7.0,-2.2,0.9,11.3,"$128,570",Doctoral or professional degree,None,None
Physician assistants,29-1071,Line item,129.4,169.5,40.1,31.0,1.0,12.2,"$121,530",Master's degree,None,None
Podiatrists,29-1081,Line item,12.1,12.3,0.2,1.8,18.7,0.9,"$145,840",Doctoral or professional degree,None,Internship/residency
Therapists,29-1120,Summary,748.7,907.6,158.9,21.2,7.3,57.8,"$78,670",—,—,—
Occupational therapists,29-1122,Line item,131.6,154.6,23.0,17.5,2.4,10.1,"$85,570",Master's degree,None,None
Physical therapists,29-1123,Line item,239.2,288.3,49.1,20.5,6.1,15.6,"$95,620",Doctoral or professional degree,None,None
Radiation therapists,29-1124,Line item,17.7,19.3,1.6,9.1,—,1.1,"$82,790",Associate's degree,None,None
Recreational therapists,29-1125,Line item,20.8,23.0,2.2,10.4,—,1.9,"$47,940",Bachelor's degree,None,None
Respiratory therapists,29-1126,Line item,135.1,166.2,31.1,23.0,0.8,10.1,"$61,830",Associate's degree,None,None
Speech-language pathologists,29-1127,Line item,158.1,203.5,45.4,28.7,5.7,15.2,"$79,060",Master's degree,None,Internship/residency
Exercise physiologists,29-1128,Line item,18.0,20.4,2.4,13.1,58.4,1.5,"$47,940",Bachelor's degree,None,None
"Therapists, all other",29-1129,Line item,28.1,32.3,4.2,14.8,57.1,2.4,"$59,500",Bachelor's degree,None,None
Veterinarians,29-1131,Line item,86.8,101.3,14.5,16.8,11.5,4.4,"$100,370",Doctoral or professional degree,None,None
Registered nurses,29-1141,Line item,3080.1,3356.8,276.8,9.0,0.7,194.5,"$77,600",Bachelor's degree,None,None
Nurse anesthetists,29-1151,Line item,44.2,49.8,5.6,12.6,3.4,2.9,"$195,610",Master's degree,None,None
Nurse midwives,29-1161,Line item,7.3,8.2,0.8,11.3,1.8,0.5,"$112,830",Master's degree,None,None
Nurse practitioners,29-1171,Line item,220.3,335.2,114.9,52.2,1.8,26.0,"$120,680",Master's degree,None,None
Audiologists,29-1181,Line item,13.7,15.8,2.1,15.7,1.7,0.8,"$78,950",Doctoral or professional degree,None,None
Anesthesiologists,29-1211,Line item,31.3,31.2,-0.2,-0.5,7.4,0.8,">=$208,000",Doctoral or professional degree,None,Internship/residency
Family medicine physicians,29-1215,Line item,107.7,113.0,5.3,4.9,7.1,3.5,">=$208,000",Doctoral or professional degree,None,Internship/residency
General internal medicine physicians,29-1216,Line item,55.5,55.1,-0.4,-0.7,7.2,1.5,">=$208,000",Doctoral or professional degree,None,Internship/residency
Obstetricians and gynecologists,29-1218,Line item,20.7,20.3,-0.4,-2.1,7.4,0.5,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Pediatricians, general",29-1221,Line item,30.2,29.6,-0.5,-1.8,7.4,0.8,"$170,480",Doctoral or professional degree,None,Internship/residency
Psychiatrists,29-1223,Line item,28.1,31.6,3.5,12.5,5.9,1.2,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Physicians, all other; and ophthalmologists, except pediatric",29-1228,Line item,412.1,430.8,18.7,4.5,6.3,13.4,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Surgeons, except ophthalmologists",29-1248,Line item,41.5,40.3,-1.2,-2.8,7.2,1.0,">=$208,000",Doctoral or professional degree,None,Internship/residency
Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,261.8,287.5,25.7,9.8,6.6,19.2,"$77,900",—,—,—
Dental hygienists,29-1292,Line item,206.1,229.2,23.1,11.2,0.1,15.6,"$77,810",Associate's degree,None,None
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",29-1298,Line item,55.7,58.3,2.6,4.7,30.6,3.6,"$92,120",Master's degree,None,None
Health technologists and technicians,29-2000,Summary,2937.0,3209.5,272.5,9.3,1.0,243.2,"$46,910",—,—,—
Clinical laboratory technologists and technicians,29-2010,Line item,335.5,372.0,36.5,10.9,0.2,25.9,"$57,800",Bachelor's degree,None,None
